,B2a1,C1b1,C2a1,C2b,C2b1,C2b2,D1,D1a1,E1b1,F,G1a1,G1b,G2a1,G2a2,G2b1,H1a1,H1a2,H3b,H3b1,H3b2,I2a1,J1,J1a2,J1a3,J2,J2a1,J2a2,J2b2,K,K2a,K2a1,L1a1,L1a2,L1b2,N1a,N1a1,N1a2,N1a3,N1b1,N1b2,O1a,O1a1,O1a2,O1b1,O1b2,O2,O2a1,O2a2,O2b,O2b1,O2b2,Q1a1,Q1a2,Q1b1,Q1b2,Q2a1,Q2b1,Q2b2,Q2b3,R1a1,R1b,R1b1,R1b2,R2,R2a2,R2b,R2b1,T1a2
Miao_Sichuan,0,0.086956522,0.043478261,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0.043478261,0,0,0.260869565,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miao_Guizhou,0,0.012658228,0,0,0.075949367,0,0,0.037974684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0,0.151898734,0,0.139240506,0,0,0.025316456,0.53164557,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanjing_Guizhou,0,0,0,0,0.02173913,0,0,0.086956522,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108695652,0,0.043478261,0,0.086956522,0,0,0.065217391,0.565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She_Fujian,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0.325581395,0,0.093023256,0,0,0.162790698,0.325581395,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yao_Guizhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolian_Inner_Mongolia,0,0,0.243902439,0,0.146341463,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0.073170732,0,0,0.073170732,0.292682927,0,0,0,0,0,0.024390244,0,0,0,0,0,0.024390244,0,0,0.024390244,0,0,0,0,0
Han_Shaanxi,0,0,0.031578947,0,0.084210526,0,0,0.042105263,0.010526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021052632,0.021052632,0,0.021052632,0.031578947,0,0.052631579,0,0.084210526,0,0,0.178947368,0.315789474,0,0.010526316,0,0.021052632,0,0.021052632,0,0,0,0,0,0.042105263,0,0.010526316,0,0,0,0,0,0
Han_Shandong,0,0,0.005780347,0,0.10982659,0,0,0.028901734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0.011560694,0.01734104,0.005780347,0.005780347,0.023121387,0,0.052023121,0,0.075144509,0.011560694,0,0.179190751,0.421965318,0,0.005780347,0,0.01734104,0,0,0,0,0,0,0,0,0,0.011560694,0.005780347,0.005780347,0,0,0,0
Han_Shanxi,0,0,0.007751938,0,0.07751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015503876,0,0,0.023255814,0,0,0,0,0,0,0,0,0.007751938,0.03875969,0.015503876,0,0.023255814,0.023255814,0.007751938,0.031007752,0,0.093023256,0.023255814,0,0.224806202,0.279069767,0,0,0,0.062015504,0.007751938,0.007751938,0,0,0,0,0,0.015503876,0,0.007751938,0,0,0,0,0,0.007751938
Han_Gansu,0,0,0.06,0,0.08,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0,0,0.02,0,0.06,0.02,0.06,0,0,0.16,0.3,0,0,0,0.08,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0
