,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5
Han_Shaanxi,0.103376097681706,0.239458080679089,0.240383572469055,0.021722897861903,0.372185094365047
Han_Shandong,0.211276397079129,0.0280138098664925,0.0183090762067241,0.474468429267516,0.0909110643943722
Han_Shanxi,0.132753616241316,0.36137205002516,0.211116453194067,0.231914012527648,0.00771691033113345
Han_Gansu,0.0493075955668373,0.331837497933938,0.378154155578174,0.0356276497195352,0.162148010598648
Han_Henan,0.313623498843049,0.14406554479285,0.239800946131228,0.0226246524160034,0.00381735139833764
Han_Guangxi,0.000819862958344808,0.539657920804456,0.0313841177950913,0.000535570798231109,0.00514078037105632
Han_Chongqing,3.96067422796235e-05,0.496940602779339,0.0371171753880666,0.00325961767967215,0.0146077109844434
Han_Guangdong,8.91454712047647e-05,0.581583870770759,0.000145054319365851,0.0749865129772368,0.0296511066373233
Han_Fujian,0.0245925821629311,0.0598558813428737,0.0140046568583666,0.0188440681195194,0.12415517507527
Han_Hainan,0.00103201773181895,0.604923015177415,0.00856241762028484,0.00259246787759937,0.000770117446915648
Han_Sichuan,0.0230699415360771,0.000555511769734184,0.0345184411175282,0.043155450462114,0.000731153341429663
Hui_Sichuan,4.11759203963465e-09,0.00182575192982897,0.0424668014616416,0.457747285156384,5.28600896998816e-05
Hui_Hainan,0.979701063029992,0.0192691598670465,0.000366100683166779,0.000209535580295232,8.73902405807062e-05
Tanka_Fujian,0.101408700099101,0.552811372138102,0.0304587357449914,0.138916343006397,0.00104289542894792
